Country/Region,pib_en_salud,Rank,GDP(US$million),edad_media,giniIndex,pop2020,taza(muerte/1000)
Slovakia,7.0,60,"106,552",41.8,23.7,5459642.0,10.1
Togo,6.0,146,"5,502",20.0,46.0,8278724.0,6.5
Vatican City,,,,,,,
French Guiana,,,,,,,
Malta,9.0,121,"14,859",42.3,28.1,441543.0,8.3
Martinique,,,,,,,
Bulgaria,8.0,72,"66,250",43.7,40.2,6948445.0,14.6
Maldives,9.0,145,"5,786",29.5,38.4,540544.0,4.1
Bangladesh,2.0,39,"317,465",27.9,32.1,164689383.0,5.5
Moldova,7.0,136,"11,688",37.7,26.8,4033963.0,12.6
Paraguay,7.0,91,"40,714",29.7,51.7,7132538.0,4.9
Albania,,119,"15,418",34.3,29.0,2877797.0,7.1
Cyprus,7.0,105,"24,280",37.9,34.8,1207359.0,7.0
St. Martin,,,,,,,
Brunei,,134,"12,455",31.1,,,3.8
Burkina Faso,7.0,122,"14,593",17.9,39.5,20903273.0,8.2
Channel Islands,,,,,,,
Holy See,,,,,,,
Mongolia,4.0,126,"13,637",29.8,34.0,3278290.0,6.3
Panama,7.0,70,"68,536",30.1,50.7,4314767.0,5.1
Bolivia,,90,"42,401",25.3,47.0,11673021.0,6.3
Honduras,8.0,104,"24,449",24.4,47.1,9904607.0,4.7
Congo (Kinshasa),4.0,85,"48,994",16.7,,,8.4
Jamaica,6.0,118,"15,702",29.4,35.0,2961167.0,7.5
Turkey,4.0,19,"743,708",32.2,40.2,84339067.0,6.1
Cuba,12.0,,,42.1,,,9.1
Guyana,5.0,154,"4,121",27.5,44.6,786552.0,7.5
Kazakhstan,3.0,55,"170,326",31.6,26.3,18776707.0,8.2
Cayman Islands,,,,40.5,,,6.1
Guadeloupe,,,,,,,
Ethiopia,4.0,63,"91,166",19.8,33.0,114963588.0,5.9
Sudan,6.0,98,"30,873",18.3,,,6.5
Guinea,4.0,128,"13,368",19.1,39.4,13132795.0,8.4
Antigua and Barbuda,5.0,168,"1,688",32.7,,,5.8
Aruba,,—,"2,903",39.9,,,8.7
Kenya,5.0,61,"98,607",20.0,48.5,53771296.0,5.2
Uruguay,9.0,80,"59,918",35.5,41.6,3473730.0,9.3
Ghana,3.0,71,"67,077",21.4,42.3,31072940.0,6.6
Jersey,,,,37.5,,,7.9
Namibia,9.0,125,"14,368",21.8,59.7,2540905.0,7.3
Seychelles,5.0,169,"1,644",36.8,,,7.1
Trinidad and Tobago,7.0,110,"22,607",37.8,,,9.1
Venezuela,1.0,68,"70,140",30.0,39.0,28435940.0,7.5
Curacao,,,,36.7,,,8.7
Eswatini,7.0,152,"4,657",23.7,,,10.1
Gabon,3.0,117,"16,877",21.0,42.2,2225734.0,5.9
Guatemala,6.0,66,"81,318",23.2,53.0,17915568.0,4.9
Guernsey,,,,44.3,,,9.2
