pais,gdp_rank,gdp_usd,gdp_en_salud,edad_media,gini,poblacion,taza_muerte1000
Togo,146,"5,502",6.0,20.0,46.0,8278724.0,6.5
Vatican City,,,,,,,
Malta,121,"14,859",9.0,42.3,28.1,441543.0,8.3
Bangladesh,39,"317,465",2.0,27.9,32.1,164689383.0,5.5
Bulgaria,72,"66,250",8.0,43.7,40.2,6948445.0,14.6
Maldives,145,"5,786",9.0,29.5,38.4,540544.0,4.1
Moldova,136,"11,688",7.0,37.7,26.8,4033963.0,12.6
Paraguay,91,"40,714",7.0,29.7,51.7,7132538.0,4.9
Albania,119,"15,418",,34.3,29.0,2877797.0,7.1
Brunei,134,"12,455",2.0,31.1,,,3.8
Cyprus,105,"24,280",7.0,37.9,34.8,1207359.0,7.0
St Martin,,,,,,,
Burkina Faso,122,"14,593",7.0,17.9,39.5,20903273.0,8.2
Holy See,,,,,,,
Mongolia,126,"13,637",4.0,29.8,34.0,3278290.0,6.3
Panama,70,"68,536",7.0,30.1,50.7,4314767.0,5.1
Bolivia,90,"42,401",6.0,25.3,47.0,11673021.0,6.3
Congo (Kinshasa),85,"48,994",4.0,16.7,,,8.4
Honduras,104,"24,449",8.0,24.4,47.1,9904607.0,4.7
Jamaica,118,"15,702",6.0,29.4,35.0,2961167.0,7.5
Turkey,19,"743,708",4.0,32.2,40.2,84339067.0,6.1
Cuba,,,12.0,42.1,,,9.1
Guyana,154,"4,121",5.0,27.5,44.6,786552.0,7.5
Antigua and Barbuda,168,"1,688",5.0,32.7,,,5.8
Ethiopia,63,"91,166",4.0,19.8,33.0,114963588.0,5.9
Guinea,128,"13,368",4.0,19.1,39.4,13132795.0,8.4
Kazakhstan,55,"170,326",3.0,31.6,26.3,18776707.0,8.2
Kenya,61,"98,607",5.0,20.0,48.5,53771296.0,5.2
Sudan,98,"30,873",6.0,18.3,,,6.5
Eswatini,152,"4,657",7.0,23.7,,,10.1
Gabon,117,"16,877",3.0,21.0,42.2,2225734.0,5.9
Ghana,71,"67,077",3.0,21.4,42.3,31072940.0,6.6
Guatemala,66,"81,318",6.0,23.2,53.0,17915568.0,4.9
Guernsey,,,,44.3,,,9.2
Jersey,,,,37.5,,,7.9
Mauritania,147,"5,651",4.0,21.0,37.0,4649658.0,7.5
Namibia,125,"14,368",9.0,21.8,59.7,2540905.0,7.3
Rwanda,139,"10,209",7.0,19.7,50.4,12952218.0,6.1
Saint Lucia,166,"1,992",5.0,36.9,,,8.1
Saint Vincent and the Grenadines,177,856,4.0,35.3,,,7.6
Seychelles,169,"1,644",5.0,36.8,,,7.1
Suriname,155,"3,774",6.0,31.0,,,6.2
Trinidad and Tobago,110,"22,607",7.0,37.8,,,9.1
Uruguay,80,"59,918",9.0,35.5,41.6,3473730.0,9.3
Venezuela,68,"70,140",1.0,30.0,39.0,28435940.0,7.5
Central African Republic,163,"2,321",6.0,20.0,43.6,4829767.0,12.3
Congo (Brazzaville),137,"11,576",3.0,19.5,,,8.7
Equatorial Guinea,135,"12,142",3.0,20.3,,,7.3
Kosovo,—,"7,996",,30.5,,,7.0
Uzbekistan,78,"60,490",6.0,30.1,36.8,33469203.0,5.4
Bahamas,131,"12,664",6.0,32.8,,,7.4
Benin,124,"14,374",4.0,17.0,36.5,12123200.0,8.4
Liberia,158,"3,221",8.0,18.0,32.0,5057681.0,7.0
Somalia,151,"4,958",,18.5,,,12.4
Tanzania,74,"62,224",4.0,18.2,37.6,59734218.0,7.1
Barbados,150,"5,189",7.0,39.5,,,8.8
Gambia,167,"1,773",3.0,21.8,,,6.7
Montenegro,148,"5,424",,39.6,31.9,628066.0,10.4
Djibouti,159,"3,166",3.0,24.9,40.9,988000.0,7.3
Kyrgyzstan,142,"8,261",6.0,27.3,33.4,6524195.0,6.3
Mauritius,123,"14,391",6.0,36.3,35.9,1271768.0,7.3
Zambia,106,"23,946",4.0,16.9,57.5,18383955.0,11.6
Chad,138,"11,026",4.0,16.1,43.3,16425864.0,10.0
El Salvador,102,"26,871",7.0,27.7,36.0,6486205.0,5.9
Fiji,149,"5,708",4.0,29.9,,,6.3
Nicaragua,133,"12,528",9.0,27.3,47.1,6624554.0,5.2
Angola,62,"91,527",3.0,15.9,42.7,32866272.0,8.5
Cabo Verde,,,5.0,26.8,,,5.9
Haiti,141,"8,819",8.0,24.1,60.8,11402528.0,7.4
Madagascar,132,"12,550",6.0,20.3,41.0,27691018.0,6.2
Niger,140,"9,443",8.0,14.8,34.0,24206644.0,10.2
Papua New Guinea,109,"23,587",2.0,24.0,50.9,8947024.0,6.7
Zimbabwe,129,"12,818",7.0,20.5,43.2,14862924.0,9.3
Eritrea,164,"2,110",3.0,20.3,,,6.9
Timor-Leste,160,"2,938",4.0,19.6,,,5.7
Uganda,99,"30,666",6.0,15.7,39.5,45741007.0,5.3
Dominica,178,593,6.0,34.9,,,8.0
Grenada,172,"1,238",5.0,33.3,,,8.3
Mozambique,120,"15,093",5.0,17.0,45.6,31255435.0,11.0
Syria,79,"60,043/Na",,23.5,,,4.5
Belize,165,"2,001",6.0,23.9,,,4.1
Laos,112,"19,127",3.0,24.0,36.7,7275560.0,7.2
Libya,96,"33,018",,25.8,,,3.5
Guinea-Bissau,,,7.0,18.0,,,7.9
Mali,115,"17,647",4.0,16.0,40.1,20250833.0,9.0
Saint Kitts and Nevis,174,"1,032",5.0,36.5,,,7.3
Burma,73,"65,994",5.0,29.2,,,7.2
MS Zaandam,,,,,,,
Botswana,114,"18,690",6.0,25.7,60.5,2351627.0,9.2
Burundi,157,"3,573",8.0,17.7,42.4,11890784.0,6.2
Sierra Leone,153,"4,229",13.0,19.1,34.0,7976983.0,9.8
Malawi,144,"7,522",10.0,16.8,46.1,19129952.0,7.2
