Country/Region,ObservationDate,SNo,Confirmed,Deaths,Recovered
Georgia,04/19/2020,16470,394.0,4.0,93.0
Germany,04/19/2020,16471,145184.0,4586.0,88000.0
Ghana,04/19/2020,16472,1042.0,9.0,99.0
Greece,04/19/2020,16473,2235.0,113.0,269.0
Guatemala,04/19/2020,16475,257.0,7.0,21.0
Guinea,04/19/2020,16476,579.0,5.0,87.0
Guyana,04/19/2020,16478,65.0,7.0,9.0
Haiti,04/19/2020,16479,47.0,3.0,0.0
Honduras,04/19/2020,16481,472.0,46.0,15.0
Hungary,04/19/2020,16482,1916.0,189.0,250.0
Iceland,04/19/2020,16483,1771.0,9.0,1291.0
India,04/19/2020,16484,17615.0,559.0,2854.0
Indonesia,04/19/2020,16485,6575.0,582.0,686.0
Iran,04/19/2020,16486,82211.0,5118.0,57023.0
Ireland,04/19/2020,16488,15251.0,610.0,77.0
Israel,04/19/2020,16489,13491.0,172.0,3754.0
Italy,04/19/2020,16490,178972.0,23660.0,47055.0
Jamaica,04/19/2020,16492,173.0,5.0,27.0
Japan,04/19/2020,16493,10797.0,236.0,1159.0
Jordan,04/19/2020,16494,417.0,7.0,276.0
Kazakhstan,04/19/2020,16495,1676.0,17.0,400.0
Kenya,04/19/2020,16496,270.0,14.0,67.0
Kyrgyzstan,04/19/2020,16499,554.0,5.0,133.0
Laos,04/19/2020,16500,19.0,0.0,2.0
Latvia,04/19/2020,16501,727.0,5.0,88.0
Liberia,04/19/2020,16503,91.0,8.0,7.0
Lithuania,04/19/2020,16506,1298.0,35.0,242.0
Luxembourg,04/19/2020,16507,3550.0,73.0,627.0
Madagascar,04/19/2020,16509,121.0,0.0,39.0
Mainland China,04/19/2020,516469,82735.0,4632.0,77068.0
Malawi,04/19/2020,16510,17.0,2.0,3.0
Malaysia,04/19/2020,16511,5389.0,89.0,3197.0
Maldives,04/19/2020,16512,52.0,0.0,16.0
Mali,04/19/2020,16513,224.0,14.0,42.0
Malta,04/19/2020,16514,427.0,3.0,118.0
Mauritania,04/19/2020,16515,7.0,1.0,6.0
Mauritius,04/19/2020,16516,328.0,9.0,208.0
Mexico,04/19/2020,16517,7497.0,650.0,2627.0
Moldova,04/19/2020,16518,2472.0,67.0,457.0
Mongolia,04/19/2020,16520,32.0,0.0,7.0
Morocco,04/19/2020,16522,2855.0,141.0,327.0
Mozambique,04/19/2020,16523,39.0,0.0,8.0
Namibia,04/19/2020,16524,16.0,0.0,6.0
Nepal,04/19/2020,16525,31.0,0.0,4.0
Netherlands,04/19/2020,83042,32838.0,3697.0,322.0
New Zealand,04/19/2020,16527,1431.0,12.0,912.0
Nicaragua,04/19/2020,16528,10.0,2.0,6.0
Niger,04/19/2020,16529,648.0,20.0,117.0
Nigeria,04/19/2020,16530,627.0,21.0,170.0
Norway,04/19/2020,16532,7078.0,165.0,32.0
Pakistan,04/19/2020,16534,8348.0,168.0,1868.0
Panama,04/19/2020,16535,4273.0,120.0,140.0
Papua New Guinea,04/19/2020,16536,7.0,0.0,0.0
Paraguay,04/19/2020,16537,206.0,8.0,41.0
Peru,04/19/2020,16538,15628.0,400.0,6811.0
Philippines,04/19/2020,16539,6259.0,409.0,572.0
Poland,04/19/2020,16540,9287.0,360.0,1040.0
Portugal,04/19/2020,16541,20206.0,714.0,610.0
Romania,04/19/2020,16543,8746.0,451.0,1892.0
Russia,04/19/2020,16544,42853.0,361.0,3291.0
Rwanda,04/19/2020,16545,147.0,0.0,76.0
Senegal,04/19/2020,16552,367.0,3.0,220.0
Serbia,04/19/2020,16553,6318.0,122.0,753.0
Sierra Leone,04/19/2020,16555,35.0,0.0,6.0
Singapore,04/19/2020,16556,6588.0,11.0,768.0
Slovakia,04/19/2020,16557,1161.0,12.0,229.0
Slovenia,04/19/2020,16558,1330.0,74.0,192.0
South Africa,04/19/2020,16560,3158.0,54.0,903.0
South Sudan,04/19/2020,16562,4.0,0.0,0.0
Spain,04/19/2020,16563,198674.0,20453.0,77357.0
Sri Lanka,04/19/2020,16564,271.0,7.0,96.0
Sweden,04/19/2020,16567,14385.0,1540.0,550.0
Switzerland,04/19/2020,16568,27740.0,1393.0,17800.0
Tanzania,04/19/2020,16571,170.0,7.0,11.0
Thailand,04/19/2020,16572,2765.0,47.0,1928.0
Togo,04/19/2020,16574,84.0,5.0,52.0
Tunisia,04/19/2020,16576,879.0,38.0,43.0
Turkey,04/19/2020,16577,86306.0,2017.0,11976.0
UK,04/19/2020,182853,121172.0,16095.0,436.0
US,04/19/2020,966436,759086.0,40661.0,70337.0
Uganda,04/19/2020,16579,55.0,0.0,28.0
Ukraine,04/19/2020,16580,5449.0,141.0,347.0
Uruguay,04/19/2020,16582,517.0,10.0,298.0
Uzbekistan,04/19/2020,16583,1565.0,5.0,225.0
Venezuela,04/19/2020,16584,256.0,9.0,117.0
Vietnam,04/19/2020,16585,268.0,0.0,202.0
Zambia,04/19/2020,16589,61.0,3.0,33.0
Zimbabwe,04/19/2020,16590,25.0,3.0,2.0
Algeria,04/20/2020,16732,2718.0,384.0,1099.0
Angola,04/20/2020,16734,24.0,2.0,6.0
Argentina,04/20/2020,16736,2941.0,136.0,737.0
Armenia,04/20/2020,16737,1339.0,22.0,580.0
Australia,04/20/2020,136061,6547.0,67.0,4124.0
Austria,04/20/2020,16738,14795.0,470.0,10631.0
Azerbaijan,04/20/2020,16739,1436.0,19.0,791.0
Bangladesh,04/20/2020,16742,2948.0,101.0,85.0
Belarus,04/20/2020,16744,6264.0,51.0,514.0
Belgium,04/20/2020,16745,39983.0,5828.0,8895.0
Benin,04/20/2020,16747,54.0,1.0,27.0
Bhutan,04/20/2020,16748,5.0,0.0,2.0
Bolivia,04/20/2020,16749,564.0,33.0,31.0
Bosnia and Herzegovina,04/20/2020,16750,1309.0,49.0,381.0
Botswana,04/20/2020,16751,20.0,1.0,0.0
Brazil,04/20/2020,16752,40743.0,2587.0,22130.0
Bulgaria,04/20/2020,16754,929.0,43.0,167.0
Burkina Faso,04/20/2020,16755,581.0,38.0,357.0
Burundi,04/20/2020,16757,5.0,1.0,4.0
Cambodia,04/20/2020,16759,122.0,0.0,107.0
Cameroon,04/20/2020,16760,1163.0,42.0,305.0
Canada,04/20/2020,237844,37658.0,1726.0,12543.0
Central African Republic,04/20/2020,16761,12.0,0.0,4.0
Chad,04/20/2020,16762,33.0,0.0,8.0
Chile,04/20/2020,16763,10507.0,139.0,4676.0
Colombia,04/20/2020,16764,3977.0,189.0,804.0
Costa Rica,04/20/2020,16767,662.0,6.0,124.0
Croatia,04/20/2020,16768,1881.0,47.0,771.0
Cyprus,04/20/2020,16770,772.0,12.0,81.0
Czech Republic,04/20/2020,16771,6900.0,194.0,1559.0
Denmark,04/20/2020,50654,7711.0,364.0,4499.0
Djibouti,04/20/2020,16774,846.0,2.0,102.0
Dominican Republic,04/20/2020,16776,4964.0,235.0,416.0
Ecuador,04/20/2020,16777,10128.0,507.0,1150.0
Egypt,04/20/2020,16778,3333.0,250.0,821.0
El Salvador,04/20/2020,16779,218.0,7.0,46.0
Estonia,04/20/2020,16782,1535.0,40.0,165.0
Ethiopia,04/20/2020,16784,111.0,3.0,16.0
Finland,04/20/2020,16786,3868.0,98.0,2000.0
France,04/20/2020,186634,156480.0,20292.0,38036.0
Gabon,04/20/2020,16788,120.0,1.0,7.0
Georgia,04/20/2020,16790,402.0,4.0,95.0
Germany,04/20/2020,16791,147065.0,4862.0,91500.0
Ghana,04/20/2020,16792,1042.0,9.0,99.0
Greece,04/20/2020,16793,2245.0,116.0,269.0
Guatemala,04/20/2020,16795,289.0,7.0,21.0
Guinea,04/20/2020,16796,622.0,5.0,122.0
Guyana,04/20/2020,16798,65.0,7.0,9.0
Haiti,04/20/2020,16799,57.0,3.0,0.0
Honduras,04/20/2020,16801,477.0,46.0,25.0
Hungary,04/20/2020,16802,1984.0,199.0,267.0
Iceland,04/20/2020,16803,1773.0,10.0,1362.0
India,04/20/2020,16804,18539.0,592.0,3273.0
Indonesia,04/20/2020,16805,6760.0,590.0,747.0
Iran,04/20/2020,16806,83505.0,5209.0,59273.0
Ireland,04/20/2020,16808,15652.0,687.0,77.0
Israel,04/20/2020,16809,13713.0,177.0,4049.0
Italy,04/20/2020,16810,181228.0,24114.0,48877.0
Jamaica,04/20/2020,16812,223.0,5.0,27.0
Japan,04/20/2020,16813,10797.0,236.0,1159.0
Jordan,04/20/2020,16814,425.0,7.0,282.0
Kazakhstan,04/20/2020,16815,1852.0,19.0,447.0
Kenya,04/20/2020,16816,281.0,14.0,69.0
Kyrgyzstan,04/20/2020,16819,568.0,7.0,201.0
Laos,04/20/2020,16820,19.0,0.0,2.0
Latvia,04/20/2020,16821,739.0,5.0,88.0
Liberia,04/20/2020,16823,99.0,8.0,7.0
Lithuania,04/20/2020,16826,1326.0,37.0,242.0
Luxembourg,04/20/2020,16827,3558.0,75.0,637.0
Madagascar,04/20/2020,16829,121.0,0.0,41.0
Mainland China,04/20/2020,526389,82747.0,4632.0,77093.0
Malawi,04/20/2020,16830,17.0,2.0,3.0
Malaysia,04/20/2020,16831,5425.0,89.0,3295.0
Maldives,04/20/2020,16832,69.0,0.0,16.0
Mali,04/20/2020,16833,246.0,14.0,56.0
Malta,04/20/2020,16834,431.0,3.0,126.0
Mauritania,04/20/2020,16835,7.0,1.0,6.0
Mauritius,04/20/2020,16836,328.0,9.0,224.0
Mexico,04/20/2020,16837,8261.0,686.0,2627.0
Moldova,04/20/2020,16838,2548.0,70.0,457.0
Mongolia,04/20/2020,16840,33.0,0.0,7.0
Morocco,04/20/2020,16842,3046.0,143.0,350.0
Mozambique,04/20/2020,16843,39.0,0.0,8.0
Namibia,04/20/2020,16844,16.0,0.0,6.0
Nepal,04/20/2020,16845,31.0,0.0,4.0
Netherlands,04/20/2020,84642,33588.0,3764.0,322.0
New Zealand,04/20/2020,16847,1440.0,12.0,974.0
Nicaragua,04/20/2020,16848,10.0,2.0,6.0
Niger,04/20/2020,16849,648.0,20.0,117.0
Nigeria,04/20/2020,16850,665.0,22.0,188.0
Norway,04/20/2020,16852,7156.0,181.0,32.0
Pakistan,04/20/2020,16854,8418.0,176.0,1970.0
Panama,04/20/2020,16855,4467.0,126.0,165.0
Papua New Guinea,04/20/2020,16856,7.0,0.0,0.0
Paraguay,04/20/2020,16857,208.0,8.0,46.0
Peru,04/20/2020,16858,16325.0,445.0,6968.0
Philippines,04/20/2020,16859,6459.0,428.0,613.0
Poland,04/20/2020,16860,9593.0,380.0,1133.0
Portugal,04/20/2020,16861,20863.0,735.0,610.0
Romania,04/20/2020,16863,8936.0,478.0,2017.0
Russia,04/20/2020,16864,47121.0,405.0,3446.0
Rwanda,04/20/2020,16865,147.0,0.0,76.0
Senegal,04/20/2020,16872,377.0,5.0,235.0
Serbia,04/20/2020,16873,6630.0,125.0,870.0
Sierra Leone,04/20/2020,16875,43.0,0.0,6.0
Singapore,04/20/2020,16876,8014.0,11.0,801.0
Slovakia,04/20/2020,16877,1173.0,13.0,251.0
Slovenia,04/20/2020,16878,1335.0,77.0,193.0
South Africa,04/20/2020,16880,3300.0,58.0,1055.0
South Sudan,04/20/2020,16882,4.0,0.0,0.0
Spain,04/20/2020,16883,200210.0,20852.0,80587.0
Sri Lanka,04/20/2020,16884,304.0,7.0,98.0
Sweden,04/20/2020,16887,14777.0,1580.0,550.0
Switzerland,04/20/2020,16888,27944.0,1429.0,18600.0
Tanzania,04/20/2020,16891,254.0,10.0,11.0
Thailand,04/20/2020,16892,2792.0,47.0,1999.0
Togo,04/20/2020,16894,84.0,6.0,53.0
Tunisia,04/20/2020,16896,884.0,38.0,148.0
Turkey,04/20/2020,16897,90980.0,2140.0,13430.0
UK,04/20/2020,186373,125856.0,16550.0,446.0
US,04/20/2020,984996,784326.0,42094.0,72329.0
Uganda,04/20/2020,16899,56.0,0.0,38.0
Ukraine,04/20/2020,16900,5710.0,151.0,359.0
Uruguay,04/20/2020,16902,535.0,10.0,313.0
Uzbekistan,04/20/2020,16903,1627.0,5.0,261.0
Venezuela,04/20/2020,16904,256.0,9.0,117.0
Vietnam,04/20/2020,16905,268.0,0.0,214.0
Zambia,04/20/2020,16909,65.0,3.0,35.0
Zimbabwe,04/20/2020,16910,25.0,3.0,2.0
Algeria,04/21/2020,17052,2811.0,392.0,1152.0
Angola,04/21/2020,17054,24.0,2.0,6.0
Argentina,04/21/2020,17056,3031.0,147.0,840.0
Armenia,04/21/2020,17057,1401.0,24.0,609.0
Australia,04/21/2020,138621,6547.0,67.0,4124.0
Austria,04/21/2020,17058,14873.0,491.0,10971.0
Azerbaijan,04/21/2020,17059,1480.0,20.0,865.0
Bangladesh,04/21/2020,17062,3382.0,110.0,87.0
Belarus,04/21/2020,17064,6723.0,55.0,577.0
Belgium,04/21/2020,17065,40956.0,5998.0,9002.0
Benin,04/21/2020,17067,54.0,1.0,27.0
Bhutan,04/21/2020,17068,6.0,0.0,2.0
Bolivia,04/21/2020,17069,598.0,34.0,37.0
Bosnia and Herzegovina,04/21/2020,17070,1342.0,51.0,437.0
Botswana,04/21/2020,17071,20.0,1.0,0.0
Brazil,04/21/2020,17072,43079.0,2741.0,22991.0
Bulgaria,04/21/2020,17074,975.0,45.0,170.0
Burkina Faso,04/21/2020,17075,600.0,38.0,362.0
Burundi,04/21/2020,17077,5.0,1.0,4.0
Cambodia,04/21/2020,17079,122.0,0.0,110.0
Cameroon,04/21/2020,17080,1163.0,43.0,329.0
Canada,04/21/2020,242324,39402.0,1909.0,13188.0
Central African Republic,04/21/2020,17081,14.0,0.0,10.0
Chad,04/21/2020,17082,33.0,0.0,8.0
Chile,04/21/2020,17083,10832.0,147.0,4969.0
Colombia,04/21/2020,17084,4149.0,196.0,804.0
Costa Rica,04/21/2020,17087,669.0,6.0,150.0
Croatia,04/21/2020,17088,1908.0,48.0,801.0
Cyprus,04/21/2020,17090,784.0,12.0,98.0
Czech Republic,04/21/2020,17091,7033.0,201.0,1753.0
Denmark,04/21/2020,51614,7891.0,370.0,4889.0
Djibouti,04/21/2020,17094,945.0,2.0,112.0
Dominican Republic,04/21/2020,17096,5044.0,245.0,463.0
Ecuador,04/21/2020,17097,10398.0,520.0,1207.0
Egypt,04/21/2020,17098,3490.0,264.0,870.0
El Salvador,04/21/2020,17099,225.0,7.0,48.0
Estonia,04/21/2020,17102,1552.0,43.0,169.0
Ethiopia,04/21/2020,17104,114.0,3.0,16.0
Finland,04/21/2020,17106,4014.0,141.0,2000.0
France,04/21/2020,190154,159297.0,20829.0,39819.0
Gabon,04/21/2020,17108,156.0,1.0,16.0
Georgia,04/21/2020,17110,408.0,4.0,97.0
Germany,04/21/2020,17111,148291.0,5033.0,95200.0
Ghana,04/21/2020,17112,1042.0,9.0,99.0
Greece,04/21/2020,17113,2401.0,121.0,577.0
Guatemala,04/21/2020,17115,294.0,7.0,24.0
Guinea,04/21/2020,17116,688.0,6.0,127.0
Guyana,04/21/2020,17118,66.0,7.0,9.0
Haiti,04/21/2020,17119,57.0,3.0,0.0
Honduras,04/21/2020,17121,494.0,46.0,29.0
Hungary,04/21/2020,17122,2098.0,213.0,287.0
Iceland,04/21/2020,17123,1778.0,10.0,1417.0
India,04/21/2020,17124,20080.0,645.0,3975.0
Indonesia,04/21/2020,17125,7135.0,616.0,842.0
Iran,04/21/2020,17126,84802.0,5297.0,60965.0
Ireland,04/21/2020,17128,16040.0,730.0,9233.0
Israel,04/21/2020,17129,13942.0,184.0,4507.0
Italy,04/21/2020,17130,183957.0,24648.0,51600.0
Jamaica,04/21/2020,17132,223.0,6.0,27.0
Japan,04/21/2020,17133,11135.0,263.0,1239.0
Jordan,04/21/2020,17134,428.0,7.0,297.0
Kazakhstan,04/21/2020,17135,1995.0,19.0,489.0
Kenya,04/21/2020,17136,296.0,14.0,74.0
Kyrgyzstan,04/21/2020,17139,590.0,7.0,216.0
Laos,04/21/2020,17140,19.0,0.0,2.0
Latvia,04/21/2020,17141,748.0,9.0,133.0
Liberia,04/21/2020,17143,101.0,8.0,7.0
Lithuania,04/21/2020,17146,1350.0,38.0,298.0
Luxembourg,04/21/2020,17147,3618.0,78.0,670.0
Madagascar,04/21/2020,17149,121.0,0.0,44.0
Mainland China,04/21/2020,536309,82779.0,4632.0,77125.0
Malawi,04/21/2020,17150,18.0,2.0,3.0
Malaysia,04/21/2020,17151,5482.0,92.0,3349.0
Maldives,04/21/2020,17152,83.0,0.0,16.0
Mali,04/21/2020,17153,258.0,14.0,57.0
Malta,04/21/2020,17154,443.0,3.0,150.0
Mauritania,04/21/2020,17155,7.0,1.0,6.0
Mauritius,04/21/2020,17156,328.0,9.0,243.0
Mexico,04/21/2020,17157,8772.0,712.0,2627.0
Moldova,04/21/2020,17158,2614.0,72.0,505.0
Mongolia,04/21/2020,17160,34.0,0.0,8.0
Morocco,04/21/2020,17162,3209.0,145.0,393.0
Mozambique,04/21/2020,17163,39.0,0.0,8.0
Namibia,04/21/2020,17164,16.0,0.0,6.0
Nepal,04/21/2020,17165,43.0,0.0,4.0
Netherlands,04/21/2020,86242,34317.0,3929.0,74.0
New Zealand,04/21/2020,17167,1445.0,13.0,1006.0
Nicaragua,04/21/2020,17168,10.0,2.0,7.0
Niger,04/21/2020,17169,657.0,20.0,127.0
Nigeria,04/21/2020,17170,665.0,22.0,188.0
Norway,04/21/2020,17172,7191.0,182.0,32.0
Pakistan,04/21/2020,17174,9565.0,201.0,2073.0
Panama,04/21/2020,17175,4658.0,136.0,204.0
Papua New Guinea,04/21/2020,17176,7.0,0.0,0.0
Paraguay,04/21/2020,17177,208.0,8.0,53.0
Peru,04/21/2020,17178,17837.0,484.0,6982.0
Philippines,04/21/2020,17179,6599.0,437.0,654.0
Poland,04/21/2020,17180,9856.0,401.0,1297.0
Portugal,04/21/2020,17181,21379.0,762.0,917.0
Romania,04/21/2020,17183,9242.0,498.0,2153.0
Russia,04/21/2020,17184,52763.0,456.0,3873.0
Rwanda,04/21/2020,17185,150.0,0.0,84.0
Senegal,04/21/2020,17192,412.0,5.0,242.0
Serbia,04/21/2020,17193,6630.0,125.0,870.0
Sierra Leone,04/21/2020,17195,50.0,0.0,6.0
Singapore,04/21/2020,17196,9125.0,11.0,839.0
Slovakia,04/21/2020,17197,1199.0,14.0,258.0
Slovenia,04/21/2020,17198,1344.0,77.0,197.0
South Africa,04/21/2020,17200,3465.0,58.0,1055.0
South Sudan,04/21/2020,17202,4.0,0.0,0.0
Spain,04/21/2020,17203,204178.0,21282.0,82514.0
Sri Lanka,04/21/2020,17204,310.0,7.0,102.0
Sweden,04/21/2020,17207,15322.0,1765.0,550.0
Switzerland,04/21/2020,17208,28063.0,1478.0,19400.0
Tanzania,04/21/2020,17211,254.0,10.0,11.0
Thailand,04/21/2020,17212,2811.0,48.0,2108.0
Togo,04/21/2020,17214,86.0,6.0,56.0
Tunisia,04/21/2020,17216,884.0,38.0,148.0
Turkey,04/21/2020,17217,95591.0,2259.0,14918.0
UK,04/21/2020,189893,130172.0,17378.0,638.0
US,04/21/2020,1003556,811865.0,44444.0,75204.0
Uganda,04/21/2020,17219,61.0,0.0,38.0
Ukraine,04/21/2020,17220,6125.0,161.0,367.0
Uruguay,04/21/2020,17222,535.0,11.0,313.0
Uzbekistan,04/21/2020,17223,1678.0,6.0,357.0
Venezuela,04/21/2020,17224,285.0,10.0,117.0
Vietnam,04/21/2020,17225,268.0,0.0,216.0
Zambia,04/21/2020,17229,70.0,3.0,35.0
Zimbabwe,04/21/2020,17230,28.0,3.0,2.0
Algeria,04/22/2020,17372,2910.0,402.0,1204.0
Angola,04/22/2020,17374,25.0,2.0,6.0
Argentina,04/22/2020,17376,3144.0,152.0,872.0
Armenia,04/22/2020,17377,1473.0,24.0,633.0
Australia,04/22/2020,141174,6547.0,67.0,4124.0
Austria,04/22/2020,17378,14925.0,510.0,11328.0
Azerbaijan,04/22/2020,17379,1518.0,20.0,907.0
Bangladesh,04/22/2020,17382,3772.0,120.0,92.0
Belarus,04/22/2020,17384,7281.0,58.0,769.0
Belgium,04/22/2020,17385,41889.0,6262.0,9433.0
Benin,04/22/2020,17387,54.0,1.0,27.0
Bhutan,04/22/2020,17388,6.0,0.0,2.0
Bolivia,04/22/2020,17389,609.0,37.0,44.0
Bosnia and Herzegovina,04/22/2020,17390,1368.0,53.0,460.0
Botswana,04/22/2020,17391,22.0,1.0,0.0
Brazil,04/22/2020,17392,45757.0,2906.0,25318.0
Bulgaria,04/22/2020,17394,1024.0,49.0,174.0
Burkina Faso,04/22/2020,17395,609.0,39.0,389.0
Burundi,04/22/2020,17397,11.0,1.0,4.0
Cambodia,04/22/2020,17399,122.0,0.0,110.0
Cameroon,04/22/2020,17400,1163.0,43.0,397.0
Canada,04/22/2020,229209,41650.0,2077.0,14454.0
Central African Republic,04/22/2020,17401,14.0,0.0,10.0
Chad,04/22/2020,17402,33.0,0.0,8.0
Chile,04/22/2020,17403,11296.0,160.0,5386.0
Colombia,04/22/2020,17404,4356.0,206.0,870.0
Costa Rica,04/22/2020,17407,681.0,6.0,180.0
Croatia,04/22/2020,17408,1950.0,48.0,869.0
Cyprus,04/22/2020,17410,790.0,13.0,98.0
Czech Republic,04/22/2020,17411,7132.0,208.0,1989.0
Denmark,04/22/2020,52573,8108.0,384.0,5276.0
Djibouti,04/22/2020,17414,974.0,2.0,183.0
Dominican Republic,04/22/2020,17416,5300.0,260.0,581.0
Ecuador,04/22/2020,17417,10850.0,537.0,1262.0
Egypt,04/22/2020,17418,3659.0,276.0,935.0
El Salvador,04/22/2020,17419,237.0,7.0,63.0
Estonia,04/22/2020,17422,1559.0,44.0,184.0
Ethiopia,04/22/2020,17424,116.0,3.0,21.0
Finland,04/22/2020,17426,4129.0,149.0,2000.0
France,04/22/2020,193666,157125.0,21373.0,41326.0
Gabon,04/22/2020,17428,166.0,1.0,24.0
Georgia,04/22/2020,17430,416.0,5.0,107.0
Germany,04/22/2020,17431,150648.0,5279.0,99400.0
Ghana,04/22/2020,17432,1154.0,9.0,99.0
Greece,04/22/2020,17433,2408.0,121.0,577.0
Guatemala,04/22/2020,17435,316.0,8.0,24.0
Guinea,04/22/2020,17436,761.0,6.0,164.0
Guyana,04/22/2020,17438,67.0,7.0,9.0
Haiti,04/22/2020,17439,62.0,4.0,2.0
Honduras,04/22/2020,17441,510.0,46.0,30.0
Hungary,04/22/2020,17442,2168.0,225.0,295.0
Iceland,04/22/2020,17443,1785.0,10.0,1462.0
India,04/22/2020,17444,21370.0,681.0,4370.0
Indonesia,04/22/2020,17445,7418.0,635.0,913.0
Iran,04/22/2020,17446,85996.0,5391.0,63113.0
Ireland,04/22/2020,17448,16671.0,769.0,9233.0
Israel,04/22/2020,17449,14498.0,189.0,5215.0
Italy,04/22/2020,17450,187327.0,25085.0,54543.0
Jamaica,04/22/2020,17452,233.0,6.0,27.0
Japan,04/22/2020,17453,11512.0,281.0,1356.0
Jordan,04/22/2020,17454,435.0,7.0,315.0
Kazakhstan,04/22/2020,17455,2135.0,19.0,515.0
Kenya,04/22/2020,17456,303.0,14.0,74.0
Kyrgyzstan,04/22/2020,17459,612.0,7.0,254.0
Laos,04/22/2020,17460,19.0,0.0,4.0
Latvia,04/22/2020,17461,761.0,11.0,133.0
Liberia,04/22/2020,17463,101.0,8.0,20.0
Lithuania,04/22/2020,17466,1370.0,38.0,357.0
Luxembourg,04/22/2020,17467,3654.0,80.0,711.0
Madagascar,04/22/2020,17469,121.0,0.0,52.0
Mainland China,04/22/2020,546203,82790.0,4632.0,77157.0
Malawi,04/22/2020,17470,23.0,3.0,3.0
Malaysia,04/22/2020,17471,5532.0,93.0,3452.0
Maldives,04/22/2020,17472,86.0,0.0,16.0
Mali,04/22/2020,17473,293.0,17.0,73.0
Malta,04/22/2020,17474,444.0,3.0,165.0
Mauritania,04/22/2020,17475,7.0,1.0,6.0
Mauritius,04/22/2020,17476,329.0,9.0,261.0
Mexico,04/22/2020,17477,9501.0,857.0,2627.0
Moldova,04/22/2020,17478,2778.0,75.0,560.0
Mongolia,04/22/2020,17480,35.0,0.0,8.0
Morocco,04/22/2020,17482,3446.0,149.0,417.0
Mozambique,04/22/2020,17483,41.0,0.0,8.0
Namibia,04/22/2020,17484,16.0,0.0,6.0
Nepal,04/22/2020,17485,45.0,0.0,7.0
Netherlands,04/22/2020,87841,35032.0,4068.0,101.0
New Zealand,04/22/2020,17487,1451.0,14.0,1036.0
Nicaragua,04/22/2020,17488,10.0,2.0,7.0
Niger,04/22/2020,17489,662.0,22.0,193.0
Nigeria,04/22/2020,17490,873.0,28.0,197.0
Norway,04/22/2020,17492,7338.0,187.0,32.0
Pakistan,04/22/2020,17494,10076.0,212.0,2156.0
Panama,04/22/2020,17495,4821.0,141.0,231.0
Papua New Guinea,04/22/2020,17496,8.0,0.0,0.0
Paraguay,04/22/2020,17497,213.0,9.0,62.0
Peru,04/22/2020,17498,19250.0,530.0,7027.0
Philippines,04/22/2020,17499,6710.0,446.0,693.0
Poland,04/22/2020,17500,10169.0,426.0,1513.0
Portugal,04/22/2020,17501,21982.0,785.0,1143.0
Romania,04/22/2020,17503,9710.0,524.0,2406.0
Russia,04/22/2020,17504,57999.0,513.0,4420.0
Rwanda,04/22/2020,17505,153.0,0.0,84.0
Senegal,04/22/2020,17512,442.0,6.0,253.0
Serbia,04/22/2020,17513,6630.0,125.0,870.0
Sierra Leone,04/22/2020,17515,61.0,0.0,6.0
Singapore,04/22/2020,17516,10141.0,12.0,896.0
Slovakia,04/22/2020,17517,1244.0,14.0,284.0
Slovenia,04/22/2020,17518,1353.0,79.0,205.0
South Africa,04/22/2020,17520,3635.0,65.0,1055.0
South Sudan,04/22/2020,17522,4.0,0.0,0.0
Spain,04/22/2020,17523,208389.0,21717.0,85915.0
Sri Lanka,04/22/2020,17524,330.0,7.0,105.0
Sweden,04/22/2020,17527,16004.0,1937.0,550.0
Switzerland,04/22/2020,17528,28268.0,1509.0,19900.0
Tanzania,04/22/2020,17531,284.0,10.0,11.0
Thailand,04/22/2020,17532,2826.0,49.0,2352.0
Togo,04/22/2020,17534,88.0,6.0,56.0
Tunisia,04/22/2020,17536,909.0,38.0,190.0
Turkey,04/22/2020,17537,98674.0,2376.0,16477.0
UK,04/22/2020,193410,134638.0,18151.0,683.0
US,04/22/2020,1022070,840220.0,46622.0,77366.0
Uganda,04/22/2020,17539,63.0,0.0,45.0
Ukraine,04/22/2020,17540,6592.0,174.0,424.0
Uruguay,04/22/2020,17542,543.0,12.0,324.0
Uzbekistan,04/22/2020,17543,1716.0,7.0,450.0
Venezuela,04/22/2020,17544,288.0,10.0,122.0
Vietnam,04/22/2020,17545,268.0,0.0,223.0
Zambia,04/22/2020,17549,74.0,3.0,35.0
Zimbabwe,04/22/2020,17550,28.0,4.0,2.0
Algeria,04/23/2020,17691,3007.0,407.0,1355.0
Angola,04/23/2020,17693,25.0,2.0,6.0
Argentina,04/23/2020,17695,3435.0,165.0,919.0
Armenia,04/23/2020,17696,1523.0,24.0,659.0
Australia,04/23/2020,143733,6661.0,75.0,4124.0
Austria,04/23/2020,17697,15002.0,522.0,11694.0
Azerbaijan,04/23/2020,17698,1548.0,20.0,948.0
Bangladesh,04/23/2020,17701,4186.0,127.0,108.0
Belarus,04/23/2020,17703,8022.0,60.0,938.0
Belgium,04/23/2020,17704,42797.0,6490.0,9800.0
Benin,04/23/2020,17706,54.0,1.0,27.0
Bhutan,04/23/2020,17707,7.0,0.0,3.0
Bolivia,04/23/2020,17708,703.0,43.0,44.0
Bosnia and Herzegovina,04/23/2020,17709,1413.0,54.0,485.0
Botswana,04/23/2020,17710,22.0,1.0,0.0
Brazil,04/23/2020,17711,50036.0,3331.0,26573.0
Bulgaria,04/23/2020,17713,1097.0,52.0,190.0
