,Japan,Mainland China,Thailand,US,Australia,Brazil,Colombia,Malaysia,Mexico,Philippines,Singapore,Vietnam,France,Nepal,Canada,Cambodia,Sri Lanka,Germany,Finland,India,Italy,Russia,Sweden,UK,Spain,Belgium,Egypt,Iran,Israel,Algeria,Austria,Croatia,Switzerland,Georgia,Greece,Norway,Pakistan,Romania,Denmark,Estonia,Netherlands,Azerbaijan,Belarus,Iceland,Lithuania,New Zealand,Nigeria,Ireland,Luxembourg,Armenia,Czech Republic,Dominican Republic,Ecuador,Indonesia,Latvia,Morocco,Portugal,Senegal,Argentina,Chile,Jordan,Ukraine,Hungary,Poland,Tunisia,Bosnia and Herzegovina,Slovenia,South Africa,Bhutan,Cameroon,Costa Rica,Peru,Serbia,Slovakia,Togo,Malta,Bangladesh,Bulgaria,Maldives,Moldova,Paraguay,Cyprus,Burkina Faso,Mongolia,Panama,Bolivia,Honduras,Jamaica,Turkey,Guyana,Ethiopia,Guinea,Kazakhstan,Kenya,Gabon,Ghana,Guatemala,Mauritania,Namibia,Rwanda,Uruguay,Venezuela,Central African Republic,Uzbekistan,Benin,Liberia,Tanzania,Djibouti,Kyrgyzstan,Mauritius,Zambia,Chad,El Salvador,Nicaragua,Angola,Haiti,Madagascar,Niger,Papua New Guinea,Zimbabwe,Uganda,Mozambique,Laos,Mali,Botswana,Burundi,Sierra Leone,Malawi,South Sudan,Comoros,Tajikistan,Lesotho
const,2.54647016606601,-2.407483246532189,-0.0019791329491433115,341.48319651828723,1.9155773953390987,201.97073869301613,46.30832858771015,0.08864088811863881,40.494815998889024,8.939913734519916,0.9574262188796923,0.0007897555304662913,5.181289066065626,0.8968526847423014,3.0749327610943307,0.000689274661752458,0.05033248691691199,3.016677486676615,0.05674446669151212,207.20712549919375,1.2231821257537052,33.56238267878952,2.48548912149215,3.9254194241529774,12.549645071245068,1.7116873260299095,4.362710044038047,15.63643512626272,10.123065325635794,3.59431497066219,0.6387877879735003,0.43178718755525813,0.48005581506235734,0.06036794435929323,0.10373705209111576,0.014809974520758273,10.814801010280496,5.032737882698676,0.390049062894578,-7.580458833951619e-05,1.1021167136931618,2.5800635085913286,0.8968122964291694,4.9438275218892743e-05,0.09301254021092309,-0.003860842146602817,4.21484099927142,0.06310933658072884,0.5411187766743172,2.544229783217873,0.9370093304608341,8.049813178794512,5.614698938452427,11.616616006402817,0.014857771769338394,1.6774174120665917,1.764945500256806,0.8666253225295261,24.68733414425176,10.440829383986749,0.029442823995064833,5.7794028076617465,0.07903368811396845,2.349148343687691,0.08683112128569369,1.366273003638681,0.06233607633963585,78.89156550471859,0.006280986002031683,-0.004089015494539528,3.1914045151361825,18.863686331605045,2.7170032020315094,0.05179391102525371,0.04960000921145614,-0.005091031941492677,21.286702614806515,1.4062571155703694,0.2022653564620566,1.7185944361818526,0.5324820176130599,-0.00801531599662723,0.0497001588454665,-0.0020852358860501794,7.634786052401445,12.166395718315886,6.2153339595145995,0.07086805780693112,6.9607532188822905,0.032274471684825605,2.6664954697050858,0.48905092255104143,9.630041553295351,3.285987692466809,0.5199295598604844,4.886010698599893,4.945119072554102,0.4574825149513724,0.38599676247672443,0.2996695523938191,0.023545802933722187,2.9440781708875408,0.34342385186598146,3.4753561002235194,0.10317157394202228,0.07456104011055817,-0.0054219057785841965,0.05428809908215573,2.4401307864672157,-0.01381991106931757,0.37235723560398876,0.0010306207148526815,2.438924247245233,-0.00399234759307438,0.24607613144434484,0.19050819019142626,1.3021874158006685,0.001484790248766282,-0.0010821330016582132,0.4684400465154388,0.019674908660588075,0.2060708487272587,-0.008686525057106612,0.022947862889789703,-0.010912584025468889,0.035999185383159264,0.06397965042917166,0.6887305640912114,0.09511173225547034,0.0178664769254773,0.8002737986793265,0.22830591085429436
ar.L1.D.y,-0.8120730330292202,-0.38237000548631034,-0.5165327477888383,-0.09482849608601922,-0.5861752353477361,-0.07556924932378521,-0.9072749588053155,-0.5037596671688465,-0.44670334315752447,-0.529859002477909,-0.5898376678912298,-0.6818736432694767,-0.6420529853532974,-0.4924960271565801,-0.40091868955632215,-0.7981886232847006,-0.31404281187228267,-0.28252192083094996,-0.5010665307676623,-0.8810153258129949,-0.48355786858179933,-0.15738998447095676,-0.4426530005115035,-0.48589536509918707,-0.730689010797263,-0.26256846211569285,0.1858997886509339,-0.10739946569577086,-0.2994019944986705,-0.08598714288450716,-0.2586418413956806,-0.4909805311093559,-0.5171214096946701,-0.6699524953902597,-0.7515016446605827,-0.6624993882767511,-0.4542144353401847,-0.5652935533735916,-0.35603597626236644,-0.6029976278576437,-0.15392346250314606,-0.23061082129150257,-0.00694116946956001,-0.2482947612726745,-0.5519723993329039,-0.4286177227698495,-0.7586884115300625,-0.31180882062652054,-0.4400180762715933,-0.3845267144808827,-0.3553932117718413,-0.5889781805913242,-0.6705453148820144,-0.5953843568170499,-0.7390760442292187,-0.5894982765133913,-0.5355617782683054,-0.5146770807713524,-0.20767513093273182,-0.3489622448852458,-0.5837626749851328,-0.4449072515985665,-0.42219638718411634,-0.6519664198035214,-0.5339513969979778,-0.5226990517861165,-0.31039190548022216,-0.11827732061476753,-0.8147710204181515,-0.67186297058383,-0.20954571060908048,-0.5802320017079123,-0.42024639271825787,-0.48352392645809084,-0.581843280372939,-0.6753575262569315,-0.4591469844876991,-0.5946820723513511,-0.4831665251561235,-0.3360305022158958,-0.4285597949351723,-0.6194385995786531,-0.8054265868959141,-0.41889383433604466,-0.44499967235934396,-0.7251456754571859,-0.637136880777596,-0.5048428964601689,0.007332152871522928,-0.9455743301341341,-0.5575956526664411,-1.015366723821685,-0.5552021457430381,-0.7037677296136127,-0.9007917248269582,-0.7341753173203993,-0.4905281148690884,-0.4237834314158468,-1.0069242101369524,-0.6177006113867115,-0.7521906909430556,-0.7284827485154622,-0.581972626350956,-0.6477501778598648,-0.7404702403806984,-0.7219715429317719,-0.9496076890016253,-0.5453749483761656,-1.0618244436048483,-0.6511683906410523,-0.9151995535724897,-0.9109215330094201,-0.4160159644935935,-0.8300438012301529,-0.9343505054996408,-0.8588983303504775,-0.29044637766907566,-0.8365529314822238,-0.8169520263888587,-0.9100495481106953,-0.6445116739572834,-0.7704261365800471,-0.6537080438795312,-0.8530748731149432,-0.5776232963543814,-0.8186969480223956,-0.9908456985038349,-0.99013855314529,-0.8838474628238259,-1.0677869152492658,-0.4539481793090563,-0.8251687131778709
ar.L2.D.y,-0.5581690326559241,0.029824271529458445,-0.18726435614717155,-0.10744691977998078,-0.17361081856249777,-0.44563833724622864,-0.6069584032966193,-0.40908829896337806,-0.25413787219666767,-0.4817984135937517,-0.13921138903113497,-0.5309755929969173,-0.5606616707996989,-0.26261210958195463,-0.42867852912472626,-0.648939675334814,-0.19333956507702987,-0.16299672492311926,-0.45220359019191886,-0.370847613200018,-0.0508405643941548,0.25762137506514077,-0.41099831800575365,-0.33574303765312,-0.41082929727290834,-0.25946609939305026,-0.20665291291664803,0.031278089473112565,-0.39218920586665396,0.05616137639600585,-0.16801011682800115,-0.1572402043855567,-0.03822951124270378,-0.4078106033840498,-0.26060699134668064,-0.32072301405984616,-0.394521072267082,-0.44831649458279227,-0.1587308353634055,-0.3003125735571416,-0.1830994941285028,-0.16515714354806613,-0.13790727349132406,-0.1488208232774734,-0.16462984665640823,0.2695796315930707,-0.4272350659054147,-0.2325861292118683,-0.3036233669302589,-0.3590012573178022,-0.33622247739102046,-0.6610278141779266,-0.43881660034621195,-0.4067175194566442,-0.5024016034659825,-0.3500000662871041,-0.32872114247270057,-0.5486358079390763,-0.20975468870889086,-0.3560049424708104,-0.21348883352574052,-0.42973881623782756,-0.21345085361329746,-0.30517007691717246,-0.5092037328650785,-0.45125294125252063,-0.35068960057475373,-0.24912450203096764,-0.4264344697856572,-0.5480213006928529,-0.22444531134434334,-0.47742062914671285,-0.11498673492490263,-0.37077720963464517,-0.4511102877547794,-0.6025028338725368,-0.1627811723239925,-0.43030115549792214,-0.19112288403253286,-0.5806816716522561,-0.23712720395020093,-0.24753670860767324,-0.4868222823480231,-0.4885070323398565,-0.5457475291330649,-0.41592237400861115,-0.34619617505657907,-0.5141655400380322,0.07119256462359766,-0.7553149674265316,-0.09952584583584388,-0.8010726903294638,-0.5595635693923571,-0.7165465220784094,-0.6713697597323419,-0.49211074461089016,-0.3497604586126856,-0.07722696458639143,-0.6085530658586759,-0.0869036746408088,-0.5628863615643962,-0.5659572759722727,-0.6419004627202348,-0.44948458016004433,-0.3838773730603363,-0.5474894775262745,-0.20337374253131105,-0.36639718313126934,-0.9239807385313404,-0.23797183972442115,-0.7266195665192424,-0.5673650779218777,-0.27441071924964033,-0.6301785751667426,-0.811961721233661,-0.6859035849916557,-0.3471471229108629,-0.5571001072906445,-0.4319868218942349,-0.8102159368669777,-0.4208142582081731,-0.37509432989545644,-0.594049395140521,-0.6653802494913903,-0.707077641448629,-0.7048731577570915,-0.6500318857416152,-0.8772238738412476,-0.5710771281070662,-0.9343695662495624,-0.014312903977924979,-0.8182535465315881
ar.L3.D.y,-0.4254868892099589,0.0020692278343278866,0.1419961686939003,-0.3223350115717179,0.12393571656053035,-0.2912790483400384,-0.5317312628397648,-0.12462278152903922,-0.44521146234315934,-0.20101926818194582,0.04461975205930089,-0.29910831387162745,-0.3361057305122203,-0.07482910571246992,-0.19160471876170163,-0.42623933960564986,-0.14938223937562156,-0.16625085821602104,-0.22659568338428476,-0.23466357570321894,-0.2382540585922483,0.10698451524012732,-0.4268966393087017,-0.15044357005182984,-0.1421776894078956,-0.269033531588537,0.013808183724704324,0.12634414112209272,-0.22214304472538407,0.09135724394258697,-0.17206402185521547,-0.23638669706900522,-0.2796242660635009,-0.21041907355895595,-0.16839511886576322,-0.13262634540952584,-0.36176886859534835,-0.46784178098958096,-0.04022490263716247,-0.16841452285353678,-0.1288619609507583,0.10141983838296441,-0.02895722493239264,-0.261357836282622,-0.161600812282809,0.17593059620288554,-0.3194652299366152,-0.039483880479771374,-0.09517604979774547,-0.36191043222577923,-0.3235968670125614,-0.4300617466453331,-0.40641457017452876,-0.3361205735953133,-0.35284542560781584,-0.25293779639112207,-0.4139510332377302,-0.18809089579456684,-0.2755947248171676,-0.28200247938591916,-0.01133700994003924,-0.4035035147235809,-0.29711164194150963,-0.32987204787931074,-0.3072945155930747,-0.28101294790173426,-0.2653792712865071,0.006682761721056613,-0.2238592154382151,-0.37223534235448635,-0.03160129090972409,-0.4044494868251628,0.09841327516860039,-0.22995447126685636,-0.24868540755456703,-0.3527957961856333,-0.2793833985171493,-0.4407344845474639,-0.27807191926393116,-0.42130161766195295,-0.21114563956910598,-0.2247665679680665,-0.2704025786509781,-0.2688790429381248,-0.3107941339771964,-0.31145416928708447,-0.036991743746639744,-0.3481052578402065,-0.11683741429948122,-0.6440735064598415,0.018082968315254907,-0.7231481399046572,-0.48293350573940447,-0.603332373213357,-0.5436607782785152,-0.3911182135398227,-0.2851272521160099,-0.29962435469850557,-0.1922073900590979,-0.10352079404586012,-0.35208217715374346,-0.3870915156757864,-0.511097931644511,-0.21562243965162955,-0.3737475867402796,-0.3277849582733725,-0.08381655142449718,-0.08339218881927943,-0.6876383888908421,-0.18631674227335268,-0.5663413650699692,-0.08918750322525255,-0.27978950432789995,-0.4713195406031959,-0.5579665166434108,-0.484006157683036,-0.2954114257664607,-0.18681120878064345,-0.3998889689060143,-0.43960693847342774,-0.22784341273181033,-0.330214511857608,-0.4888836341498961,-0.4737907823447045,-0.3631395940610064,-0.5607344109188275,-0.4252723256605349,-0.6345734490050277,-0.5457379458837679,-0.5622358232685585,0.36928620522304445,-0.652442155529114
ar.L4.D.y,-0.31238510152051613,-0.21164848208656012,0.14069928105988352,-0.1491624771767489,0.09251629271075743,-0.37078541475673965,-0.5618309608897234,-0.11566817448522135,-0.49405854438206825,-0.25817652611555597,-0.006717525175560339,-0.22785682685553083,-0.18051171262714305,0.026044237320449387,-0.2179383202315759,-0.26494951608037415,-0.05713897937072223,-0.2345326376699321,-0.25179631389896584,0.11959659482185137,-0.23561974701652377,-0.01007120891427855,-0.4399314336805637,-0.1811457066644532,-0.01868766187345275,-0.05912409534517707,-0.13924522373948017,0.04980086105472248,-0.15545410635416415,-0.029505598650614282,0.14885265985413743,-0.3684275345165747,-0.13439349573801215,-0.05606489915280226,-0.23409477045697316,-0.12324645522688539,-0.29203190870154516,-0.3608082427637942,-0.07023707377075962,-0.2861081237425664,-0.1701558777601409,0.03698465635487874,-0.06964725486432895,-0.18697153863980517,-0.009685784850000614,-0.036916649744438354,-0.3890406607047909,0.14574117138701476,-0.20581617139698855,-0.3135357887886904,-0.1301095605470901,-0.3404406227590011,-0.28960895319269,-0.23386254958803787,-0.2568973477470708,-0.26972098633320524,-0.22487287785618096,-0.17087090047125347,-0.39331430839522374,-0.34005431900966776,-0.015614280884748852,-0.3872545453500189,-0.24557976818214539,-0.24278959696352953,-0.2978149750764336,-0.1721971761272495,-0.06823074938572637,-0.347398832040826,-0.28726959372018396,-0.16729973587977634,-0.1038329028111068,-0.19303891500735432,0.0549267161293254,-0.4121163256656011,-0.27863276244912094,-0.254693876805681,-0.1666536265323177,-0.4439058085074544,-0.21883474532753633,-0.2834190221570524,-0.19039843695160746,-0.13706722482400743,-0.1859533378724489,-0.19140091339411242,-0.4336105695053853,-0.4970711165133192,-0.1632232408287086,-0.3300831360213793,0.15088364767367501,-0.459595250143902,-0.1628197720958641,-0.5828681303124963,-0.15604773653089124,-0.41902623718930265,-0.3929528259910868,-0.09602093054922399,-0.13282901102739297,-0.16917672839223485,-0.27434282019903644,-0.4805614775664372,-0.14991443873793775,-0.2979158080424482,-0.3664191321245875,0.0750633114292587,-0.25688497848002895,-0.2865929945289301,-0.22370691387693625,-0.21032063895329606,-0.4199141897934815,0.10553422307064153,-0.4167107417417204,0.0014591932901904803,-0.08408599326546676,-0.3160503251831856,-0.49990653357448234,-0.16824753714752522,-0.08255833474152559,0.06910000064370989,-0.1725703576046021,-0.1424279850921166,-0.18788309969227207,-0.2095087922690119,0.011375205944041844,-0.19459953915341832,-0.1470074108433697,-0.4315143762441498,-0.230829016598424,-0.27538149180505883,-0.2729636519891703,-0.2826361759033744,0.14286288622436155,-0.31323574724803205
ar.L5.D.y,-0.25381986566724624,0.10859926455959516,0.08029594035784514,-0.19757537029217423,0.09689913118496253,-0.3620901983062029,-0.3130503355963743,0.05276112926797415,-0.2893846474412566,-0.14194723780230828,-0.009157289304656332,-0.05094065255212453,-0.2231153084759616,0.12733359221034118,-0.023195081469040466,-0.053822290025639895,-0.08869049481878952,-0.14298920329266215,-0.13414240833804242,0.12601872437456538,-0.057393703414923246,-0.012119040648109664,-0.2962742608496142,-0.09606427714032875,0.04290373523536724,-0.055870936158812584,-0.0035728967082394388,-0.001480884760009312,-0.21147959234418734,0.03282610127855682,0.18708467577011087,-0.24976058820862648,0.07820269124491933,-0.17979325600961724,-0.01821779239712746,-0.1273377766029541,-0.06323821233066869,-0.16450739358673636,-0.10665352650338097,-0.08174763244591239,-0.09427708727706616,0.07453316563028979,0.008391264997251534,-0.10363807396757754,-0.15828744591781702,-0.09775911083743277,-0.30051882309995553,-0.09366126138411499,0.05099602077606001,-0.48711751728757635,-0.19100237590156188,-0.20421134889918924,-0.22429617930258203,-0.22844607151343105,-0.10450986833167678,-0.10509560241846187,-0.26759674409702916,-0.19818442548335624,-0.1533616174332705,-0.29574831816863695,-0.14296215046122474,-0.34092982830688456,0.038599069446481865,-0.10742944248511722,-0.13427900587177438,-0.20559543725623186,-0.23021425667420084,-0.12516026568390057,-0.15249073075955188,-0.1747584765201397,-0.013227135094988393,-0.05138645092591308,-0.08578792678664546,-0.10192898913343759,-0.09714200496298143,-0.10101935021101521,-0.003410458563161242,-0.35163627431783684,-0.10027306387063184,-0.5209396186368971,-0.15614434511696498,-0.08447300739301877,-0.0639227142348679,-0.13687124805348047,-0.32988931376130937,-0.3614213378524619,-0.009412721544381665,-0.28110246512151466,0.12039834699407664,-0.23702050806222816,-0.1615135595457721,-0.3207492103182138,-0.2610922093092143,-0.3238640870481226,-0.16003291033275108,-0.14296666724091675,-0.1734345424342401,-0.039707571501031005,-0.14119425291346088,-0.4549364124352211,-0.13986216129382295,-0.053484972712882835,-0.10790232795573247,0.07613960090628781,-0.10664800867840205,-0.25887310985869644,-0.0070145781243437875,-0.13192135926907492,-0.22793620377208376,0.12831513207863257,-0.14484599199696,0.08789579070217375,-0.05800145046995259,-0.15679955654523012,-0.016995001655965302,0.1163705298413362,0.0433254142012072,0.06828938353339545,-0.02736218619586377,-0.06471894537943697,0.003909408957261407,-0.11364459795825675,-0.20385479149918856,0.009387714588472673,-0.21727302286558053,-0.29910418445144527,-0.04361321277135018,-0.18268093203011695,-0.16353052887288877,-0.12194957489092115,0.08135774852199634,-0.03731017646360937
